"file","line","hex","suggested_token","context"
"src/app/component/messages/messages.component.scss","38","#f9b703","--legience-warning","--msg-warning: var(--legience-warning, #f9b703);"
"src/app/component/messages/messages.component.scss","40","#f24149","--legience-danger","--msg-danger: var(--legience-danger, #f24149);"
"src/app/component/messages/messages.component.scss","391","#fff","--legience-bg-card","color: #fff;"
"src/app/component/messages/messages.component.scss","396","#fff","--legience-bg-card","color: #fff;"
"src/app/component/messages/messages.component.scss","543","#fff","--legience-bg-card","color: #fff;"
"src/app/component/messages/messages.component.scss","798","#fff","--legience-bg-card","color: #fff;"
"src/app/component/messages/messages.component.scss","833","#fff","--legience-bg-card","border: 2px solid var(--vz-card-bg, #fff);"
"src/app/component/messages/messages.component.scss","840","#299cdb","(unmapped)","background: linear-gradient(135deg, #299cdb 0%, #3aa8e5 100%);"
"src/app/component/messages/messages.component.scss","840","#3aa8e5","(unmapped)","background: linear-gradient(135deg, #299cdb 0%, #3aa8e5 100%);"
"src/app/component/messages/messages.component.scss","844","#0ab39c","(unmapped)","background: linear-gradient(135deg, #0ab39c 0%, #0fc5ab 100%);"
"src/app/component/messages/messages.component.scss","844","#0fc5ab","(unmapped)","background: linear-gradient(135deg, #0ab39c 0%, #0fc5ab 100%);"
"src/app/component/messages/messages.component.scss","968","#fff","--legience-bg-card","color: #fff;"
"src/app/component/messages/messages.component.scss","1417","#fff","--legience-bg-card","color: #fff;"
"src/app/component/messages/messages.component.scss","1440","#fff","--legience-bg-card","border-color: var(--vz-card-bg, #fff);"
"src/app/component/messages/messages.component.scss","1700","#fff","--legience-bg-card","color: #fff;"
"src/app/component/messages/messages.component.scss","1789","#fff","--legience-bg-card","color: #fff;"
"src/app/component/messages/messages.component.scss","1803","#22c55e","--legience-success","background: #22c55e;"
"src/app/component/messages/messages.component.scss","1804","#fff","--legience-bg-card","border: 2px solid #fff;"
"src/app/component/messages/messages.component.scss","1810","#ec6b6b","(unmapped)","background: #ec6b6b;"
"src/app/component/messages/messages.component.scss","1815","#6366f1","(unmapped)","background: #6366f1;"
"src/app/component/messages/messages.component.scss","1965","#fff","--legience-bg-card","color: #fff;"
"src/app/component/messages/messages.component.scss","1981","#fff","--legience-bg-card","i { color: #fff; }"
"src/app/component/messages/messages.component.scss","2301","#fff","--legience-bg-card","color: #fff;"
"src/app/component/messages/messages.component.scss","2522","#fff","--legience-bg-card","color: #fff;"
"src/app/component/messages/messages.component.scss","2573","#fff","--legience-bg-card","color: #fff;"
"src/app/component/messages/messages.component.scss","2604","#fff","--legience-bg-card","color: #fff;"
"src/app/component/messages/messages.component.scss","2615","#fff","--legience-bg-card","color: #fff;"
"src/app/component/messages/messages.component.scss","2626","#fff","--legience-bg-card","color: #fff;"
"src/app/component/messages/messages.component.scss","2687","#fff","--legience-bg-card","color: #fff;"
"src/app/component/messages/messages.component.scss","2749","#fff","--legience-bg-card","i { color: #fff; }"
"src/app/component/messages/messages.component.scss","2846","#fff","--legience-bg-card","i { color: #fff; }"
"src/app/component/messages/messages.component.scss","2857","#fff","--legience-bg-card","i { color: #fff; }"
"src/app/component/messages/messages.component.scss","2866","#fff","--legience-bg-card","i { color: #fff; }"
"src/app/component/messages/messages.component.scss","2932","#fff","--legience-bg-card","background-color: var(--vz-secondary-bg, var(--vz-card-bg, #fff)) !important;"
"src/app/component/messages/messages.component.scss","3001","#fff","--legience-bg-card","color: #fff;"
"src/app/component/messages/messages.component.scss","3536","#fff","--legience-bg-card","background: var(--legience-bg-card, #fff);"
"src/app/shared/components/signature-list/signature-list.component.scss","524","#fff","--legience-bg-card","color: #fff;"
"src/app/component/users/users-directory/users-directory.component.scss","38","#fff","--legience-bg-card","border: 3px solid #fff;"
"src/app/component/users/users-directory/users-directory.component.scss","91","#adb5bd","(unmapped)","color: #adb5bd;"
"src/app/component/users/users-directory/users-directory.component.scss","120","#fff","--legience-bg-card","color: #fff;"
"src/app/component/users/users-directory/users-directory.component.scss","145","#fff","--legience-bg-card","color: #fff;"
"src/app/component/users/users-directory/users-directory.component.scss","152","#fff","--legience-bg-card","color: #fff;"
"src/app/component/users/users-directory/users-directory.component.scss","161","#198754","(unmapped)","color: #198754 !important;"
"src/app/component/users/users-directory/users-directory.component.scss","166","#ffc107","(unmapped)","color: #ffc107 !important;"
"src/app/component/users/users-directory/users-directory.component.scss","171","#dc3545","(unmapped)","color: #dc3545 !important;"
"src/app/component/users/user-profile-modal/user-profile-modal.component.scss","7","#fff","--legience-bg-card","border: 3px solid #fff;"
"src/app/component/users/user-profile-modal/user-profile-modal.component.scss","20","#fff","--legience-bg-card","border: 2px solid #fff;"
"src/app/component/users/user-profile-modal/user-profile-modal.component.scss","43","#f1f1f1","(unmapped)","background: #f1f1f1;"
"src/app/component/users/user-profile-modal/user-profile-modal.component.scss","90","#198754","(unmapped)","color: #198754 !important;"
"src/app/component/users/user-profile-modal/user-profile-modal.component.scss","95","#dc3545","(unmapped)","color: #dc3545 !important;"
"src/app/component/users/user-profile-modal/user-profile-modal.component.scss","100","#ffc107","(unmapped)","color: #ffc107 !important;"
"src/app/component/users/user-profile-modal/user-profile-modal.component.scss","105","#0dcaf0","(unmapped)","color: #0dcaf0 !important;"
"src/app/component/users/user-profile-modal/user-profile-modal.component.scss","110","#0d6efd","(unmapped)","color: #0d6efd !important;"
"src/app/component/users/user-profile-modal/user-profile-modal.component.scss","115","#6c757d","(unmapped)","color: var(--legience-text-muted, #6c757d) !important;"
"src/app/component/users/user-profile-modal/user-profile-modal.component.scss","144","#198754","(unmapped)","color: #198754 !important;"
"src/app/component/users/user-profile-modal/user-profile-modal.component.scss","148","#dc3545","(unmapped)","color: #dc3545 !important;"
"src/app/component/users/user-profile-modal/user-profile-modal.component.scss","152","#ffc107","(unmapped)","color: #ffc107 !important;"
"src/app/component/users/user-profile-modal/user-profile-modal.component.scss","156","#6c757d","(unmapped)","color: var(--legience-text-muted, #6c757d) !important;"
"src/app/component/dev-tools/design-switcher/design-switcher.component.scss","52","#6691e7","(unmapped)","&[data-design=""velzon""] { background: #6691e7; }   // Velzon blue"
"src/app/component/dev-tools/design-switcher/design-switcher.component.scss","53","#ec652b","(unmapped)","&[data-design=""column""] { background: #ec652b; }   // Column orange"
"src/app/component/dev-tools/design-switcher/design-switcher.component.scss","54","#0b64e9","--legience-accent","&[data-design=""rox""]    { background: #0b64e9; }   // Rox blue"
"src/app/component/dev-tools/design-switcher/design-switcher.component.scss","80","#fff","--legience-bg-card","color: #fff;"
"src/app/component/dev-tools/design-switcher/design-switcher.component.scss","85","#fff","--legience-bg-card","background: var(--legience-bg-card, #fff);"
"src/app/component/dev-tools/design-switcher/design-switcher.component.scss","86","#14161a","(unmapped)","color: #14161a;"
"src/app/component/invoice/edit-invoice/edit-invoice.component.scss","3","#495057","(unmapped)","color: var(--legience-text-secondary, #495057);"
"src/app/component/invoice/edit-invoice/edit-invoice.component.scss","11","#dc3545","(unmapped)","color: #dc3545;"
"src/app/component/invoice/edit-invoice/edit-invoice.component.scss","15","#dc3545","(unmapped)","border-color: #dc3545;"
"src/app/component/invoice/edit-invoice/edit-invoice.component.scss","24","#f8f9fa","(unmapped)","background-color: var(--legience-bg-card-hover, #f8f9fa);"
"src/app/component/invoice/edit-invoice/edit-invoice.component.scss","25","#dee2e6","(unmapped)","border-color: var(--legience-border-hairline, #dee2e6);"
"src/app/component/invoice/edit-invoice/edit-invoice.component.scss","33","#0d6efd","(unmapped)","background-color: #0d6efd;"
"src/app/component/invoice/edit-invoice/edit-invoice.component.scss","34","#0d6efd","(unmapped)","border-color: #0d6efd;"
"src/app/component/invoice/edit-invoice/edit-invoice.component.scss","37","#0b5ed7","(unmapped)","background-color: #0b5ed7;"
"src/app/component/invoice/edit-invoice/edit-invoice.component.scss","38","#0a58ca","(unmapped)","border-color: #0a58ca;"
"src/app/component/invoice/edit-invoice/edit-invoice.component.scss","43","#f8f9fa","(unmapped)","background-color: var(--legience-bg-card-hover, #f8f9fa);"
"src/app/component/invoice/edit-invoice/edit-invoice.component.scss","44","#f8f9fa","(unmapped)","border-color: #f8f9fa;"
"src/app/component/invoice/edit-invoice/edit-invoice.component.scss","45","#495057","(unmapped)","color: var(--legience-text-secondary, #495057);"
"src/app/component/invoice/edit-invoice/edit-invoice.component.scss","48","#e9ecef","(unmapped)","background-color: var(--legience-bg-subtle, #e9ecef);"
"src/app/component/invoice/edit-invoice/edit-invoice.component.scss","49","#dae0e5","(unmapped)","border-color: #dae0e5;"
"src/app/component/client/clients/clients.component.scss","263","#fff","--legience-bg-card","color: #fff;"
"src/app/component/client/clients/clients.component.scss","274","#fff","--legience-bg-card","color: #fff;"
"src/app/component/client/clients/clients.component.scss","285","#fff","--legience-bg-card","color: #fff;"
"src/app/component/client/clients/clients.component.scss","296","#fff","--legience-bg-card","color: #fff;"
"src/app/component/client/clients/clients.component.scss","447","#fff","--legience-bg-card","color: #fff;"
"src/app/component/client/client-detail/client-detail.component.scss","33","#f3f6f9","(unmapped)","border: 3px solid #f3f6f9;"
"src/app/component/client/client-detail/client-detail.component.scss","40","#405189","(unmapped)","background: linear-gradient(135deg, #405189 0%, #0ab39c 100%);"
"src/app/component/client/client-detail/client-detail.component.scss","40","#0ab39c","(unmapped)","background: linear-gradient(135deg, #405189 0%, #0ab39c 100%);"
"src/app/component/client/client-detail/client-detail.component.scss","46","#fff","--legience-bg-card","color: #fff;"
"src/app/component/client/client-detail/client-detail.component.scss","56","#6c757d","(unmapped)","background: #6c757d;"
"src/app/component/client/client-detail/client-detail.component.scss","57","#fff","--legience-bg-card","border: 2px solid #fff;"
"src/app/component/client/client-detail/client-detail.component.scss","60","#0ab39c","(unmapped)","background: #0ab39c;"
"src/app/component/client/client-detail/client-detail.component.scss","74","#495057","(unmapped)","color: var(--vz-heading-color, #495057);"
"src/app/component/client/client-detail/client-detail.component.scss","79","#6c757d","(unmapped)","color: var(--legience-text-muted, #6c757d);"
"src/app/component/client/client-detail/client-detail.component.scss","162","#6c757d","(unmapped)","color: var(--legience-text-muted, #6c757d);"
"src/app/component/client/client-detail/client-detail.component.scss","168","#495057","(unmapped)","color: var(--vz-heading-color, #495057);"
"src/app/component/client/client-detail/client-detail.component.scss","178","#6c757d","(unmapped)","background: #6c757d;"
"src/app/component/client/client-detail/client-detail.component.scss","181","#0ab39c","(unmapped)","background: #0ab39c;"
"src/app/component/client/client-detail/client-detail.component.scss","209","#405189","(unmapped)","color: #405189;"
"src/app/component/client/client-detail/client-detail.component.scss","224","#6c757d","(unmapped)","color: var(--legience-text-muted, #6c757d);"
"src/app/component/client/client-detail/client-detail.component.scss","232","#495057","(unmapped)","color: var(--vz-heading-color, #495057);"
"src/app/component/client/client-detail/client-detail.component.scss","244","#6c757d","(unmapped)","color: var(--legience-text-muted, #6c757d);"
"src/app/component/client/client-detail/client-detail.component.scss","249","#e9ebec","(unmapped)","border-color: var(--legience-border-hairline, #e9ebec);"
"src/app/component/client/client-detail/client-detail.component.scss","252","#405189","(unmapped)","border-color: #405189;"
"src/app/component/client/client-detail/client-detail.component.scss","273","#405189","(unmapped)","color: var(--vz-primary, #405189);"
"src/app/component/client/client-detail/client-detail.component.scss","304","#6c757d","(unmapped)","color: var(--vz-secondary-color, #6c757d);"
"src/app/component/client/client-detail/client-detail.component.scss","316","#405189","(unmapped)","color: var(--vz-primary, #405189);"
"src/app/component/client/client-detail/client-detail.component.scss","321","#fff","--legience-bg-card","color: #fff;"
"src/app/component/client/client-detail/client-detail.component.scss","322","#405189","(unmapped)","background-color: var(--vz-primary, #405189);"
"src/app/component/client/client-detail/client-detail.component.scss","327","#299cdb","(unmapped)","color: var(--vz-info, #299cdb);"
"src/app/component/client/client-detail/client-detail.component.scss","332","#fff","--legience-bg-card","color: #fff;"
"src/app/component/client/client-detail/client-detail.component.scss","333","#299cdb","(unmapped)","background-color: var(--vz-info, #299cdb);"
"src/app/component/client/client-detail/client-detail.component.scss","348","#333","(unmapped)","color: var(--legience-text-primary, #333);"
"src/app/component/client/client-detail/client-detail.component.scss","376","#0ab39c","(unmapped)","color: #0ab39c;"
"src/app/component/client/client-detail/client-detail.component.scss","381","#405189","(unmapped)","color: #405189;"
"src/app/component/auth/accept-invite/accept-invite.component.scss","3","#405189","(unmapped)","background-color: #405189;"
"src/app/component/auth/accept-invite/accept-invite.component.scss","17","#405189","(unmapped)","background: linear-gradient(135deg, #405189 0%, #6366f1 100%);"
"src/app/component/auth/accept-invite/accept-invite.component.scss","17","#6366f1","(unmapped)","background: linear-gradient(135deg, #405189 0%, #6366f1 100%);"
"src/app/component/auth/accept-invite/accept-invite.component.scss","28","#f3f3f9","(unmapped)","fill: #f3f3f9;"
"src/app/component/auth/accept-invite/accept-invite.component.scss","40","#e9ebec","(unmapped)","border-bottom: 2px solid var(--legience-border-hairline, #e9ebec);"
"src/app/component/auth/accept-invite/accept-invite.component.scss","44","#878a99","(unmapped)","color: var(--legience-text-muted, #878a99);"
"src/app/component/auth/accept-invite/accept-invite.component.scss","51","#405189","(unmapped)","color: #405189;"
"src/app/component/auth/accept-invite/accept-invite.component.scss","55","#405189","(unmapped)","color: #405189;"
"src/app/component/auth/accept-invite/accept-invite.component.scss","57","#405189","(unmapped)","border-bottom: 2px solid #405189;"
"src/app/component/auth/accept-invite/accept-invite.component.scss","77","#405189","(unmapped)","border-color: #405189;"
"src/app/component/auth/accept-invite/accept-invite.component.scss","82","#405189","(unmapped)","background-color: #405189;"
"src/app/component/auth/accept-invite/accept-invite.component.scss","83","#405189","(unmapped)","border-color: #405189;"
"src/app/component/auth/accept-invite/accept-invite.component.scss","86","#364574","(unmapped)","background-color: #364574;"
"src/app/component/auth/accept-invite/accept-invite.component.scss","87","#364574","(unmapped)","border-color: #364574;"
"src/app/component/auth/accept-invite/accept-invite.component.scss","91","#405189","(unmapped)","background-color: #405189;"
"src/app/component/auth/accept-invite/accept-invite.component.scss","92","#405189","(unmapped)","border-color: #405189;"
"src/app/component/auth/accept-invite/accept-invite.component.scss","98","#0ab39c","(unmapped)","background-color: #0ab39c;"
"src/app/component/auth/accept-invite/accept-invite.component.scss","99","#0ab39c","(unmapped)","border-color: #0ab39c;"
"src/app/component/auth/accept-invite/accept-invite.component.scss","102","#099885","(unmapped)","background-color: #099885;"
"src/app/component/auth/accept-invite/accept-invite.component.scss","103","#099885","(unmapped)","border-color: #099885;"
"src/app/component/auth/accept-invite/accept-invite.component.scss","107","#0ab39c","(unmapped)","background-color: #0ab39c;"
"src/app/component/auth/accept-invite/accept-invite.component.scss","108","#0ab39c","(unmapped)","border-color: #0ab39c;"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","395","#86b7fe","(unmapped)","border-color: #86b7fe;"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","411","#198754","(unmapped)","background: linear-gradient(135deg, #198754 0%, #20c997 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","411","#20c997","(unmapped)","background: linear-gradient(135deg, #198754 0%, #20c997 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","415","#157347","(unmapped)","background: linear-gradient(135deg, #157347 0%, #0aa674 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","415","#0aa674","(unmapped)","background: linear-gradient(135deg, #157347 0%, #0aa674 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","420","#dc3545","(unmapped)","background: linear-gradient(135deg, #dc3545 0%, #fd6c6c 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","420","#fd6c6c","(unmapped)","background: linear-gradient(135deg, #dc3545 0%, #fd6c6c 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","424","#bb2d3b","(unmapped)","background: linear-gradient(135deg, #bb2d3b 0%, #fd5c5c 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","424","#fd5c5c","(unmapped)","background: linear-gradient(135deg, #bb2d3b 0%, #fd5c5c 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","454","#198754","(unmapped)","background: linear-gradient(135deg, #198754 0%, #20c997 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","454","#20c997","(unmapped)","background: linear-gradient(135deg, #198754 0%, #20c997 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","458","#157347","(unmapped)","background: linear-gradient(135deg, #157347 0%, #0aa674 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","458","#0aa674","(unmapped)","background: linear-gradient(135deg, #157347 0%, #0aa674 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","463","#dc3545","(unmapped)","background: linear-gradient(135deg, #dc3545 0%, #fd6c6c 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","463","#fd6c6c","(unmapped)","background: linear-gradient(135deg, #dc3545 0%, #fd6c6c 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","467","#bb2d3b","(unmapped)","background: linear-gradient(135deg, #bb2d3b 0%, #fd5c5c 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","467","#fd5c5c","(unmapped)","background: linear-gradient(135deg, #bb2d3b 0%, #fd5c5c 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","700","#198754","(unmapped)","background: linear-gradient(135deg, #198754 0%, #20c997 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","700","#20c997","(unmapped)","background: linear-gradient(135deg, #198754 0%, #20c997 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","709","#157347","(unmapped)","background: linear-gradient(135deg, #157347 0%, #0aa674 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","709","#0aa674","(unmapped)","background: linear-gradient(135deg, #157347 0%, #0aa674 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","721","#dc3545","(unmapped)","background: linear-gradient(135deg, #dc3545 0%, #fd6c6c 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","721","#fd6c6c","(unmapped)","background: linear-gradient(135deg, #dc3545 0%, #fd6c6c 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","731","#bb2d3b","(unmapped)","background: linear-gradient(135deg, #bb2d3b 0%, #fd5c5c 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","731","#fd5c5c","(unmapped)","background: linear-gradient(135deg, #bb2d3b 0%, #fd5c5c 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","902","#198754","(unmapped)","background: linear-gradient(135deg, #198754 0%, #20c997 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","902","#20c997","(unmapped)","background: linear-gradient(135deg, #198754 0%, #20c997 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","907","#157347","(unmapped)","background: linear-gradient(135deg, #157347 0%, #0aa674 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","907","#0aa674","(unmapped)","background: linear-gradient(135deg, #157347 0%, #0aa674 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","914","#dc3545","(unmapped)","background: linear-gradient(135deg, #dc3545 0%, #fd6c6c 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","914","#fd6c6c","(unmapped)","background: linear-gradient(135deg, #dc3545 0%, #fd6c6c 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","919","#bb2d3b","(unmapped)","background: linear-gradient(135deg, #bb2d3b 0%, #fd5c5c 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","919","#fd5c5c","(unmapped)","background: linear-gradient(135deg, #bb2d3b 0%, #fd5c5c 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","978","#198754","(unmapped)","background: linear-gradient(135deg, #198754 0%, #20c997 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","978","#20c997","(unmapped)","background: linear-gradient(135deg, #198754 0%, #20c997 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","983","#157347","(unmapped)","background: linear-gradient(135deg, #157347 0%, #0aa674 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","983","#0aa674","(unmapped)","background: linear-gradient(135deg, #157347 0%, #0aa674 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","990","#dc3545","(unmapped)","background: linear-gradient(135deg, #dc3545 0%, #fd6c6c 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","990","#fd6c6c","(unmapped)","background: linear-gradient(135deg, #dc3545 0%, #fd6c6c 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","995","#bb2d3b","(unmapped)","background: linear-gradient(135deg, #bb2d3b 0%, #fd5c5c 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","995","#fd5c5c","(unmapped)","background: linear-gradient(135deg, #bb2d3b 0%, #fd5c5c 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","1100","#198754","(unmapped)","background: linear-gradient(135deg, #198754 0%, #20c997 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","1100","#20c997","(unmapped)","background: linear-gradient(135deg, #198754 0%, #20c997 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","1110","#157347","(unmapped)","background: linear-gradient(135deg, #157347 0%, #0aa674 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","1110","#0aa674","(unmapped)","background: linear-gradient(135deg, #157347 0%, #0aa674 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","1127","#dc3545","(unmapped)","background: linear-gradient(135deg, #dc3545 0%, #fd6c6c 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","1127","#fd6c6c","(unmapped)","background: linear-gradient(135deg, #dc3545 0%, #fd6c6c 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","1137","#bb2d3b","(unmapped)","background: linear-gradient(135deg, #bb2d3b 0%, #fd5c5c 100%);"
"src/app/modules/time-tracking/components/timesheet-view/timesheet-view.component.scss","1137","#fd5c5c","(unmapped)","background: linear-gradient(135deg, #bb2d3b 0%, #fd5c5c 100%);"
"src/app/modules/time-tracking/components/timer-widget/timer-widget.component.scss","6","#6c757d","(unmapped)","$gray-600: #6c757d !default;"
"src/app/modules/time-tracking/components/timer-widget/timer-widget.component.scss","7","#ffc107","(unmapped)","$warning: #ffc107 !default;"
